# Differences Between Cloudflare Variants

Comparing CF-paris-to-london-2025-04-08, CF-losangeles-to-australia-2025-04-12, CF-japan-to-losangeles-2025-04-10, CF-australia-to-losangeles-2025-04-12, CF-japan-to-australia-2025-04-10, CF-germany-to-australia-2025-04-13, CF-losangeles-to-japan-2025-04-10, CF-australia-to-germany-2025-04-13, CF-australia-to-japan-2025-04-11, CF-losangeles-to-japan-2025-04-13, CF-losangeles-to-australia-2025-04-10, CF-germany-to-australia-2025-04-08, CF-australia-to-japan-2025-04-10, CF-germany-to-australia-2025-03-17, CF-australia-to-japan-2025-04-13, CF-japan-to-australia-2025-04-13, CF-losangeles-to-australia-2025-04-13, CF-germany-to-losangeles-2025-04-14, CF-australia-to-losangeles-2025-04-10, CF-australia-to-losangeles-2025-04-13, CF-japan-to-losangeles-2025-04-12, CF-germany-to-japan-2025-04-13, CF-paris-to-australia-2025-04-08, CF-japan-to-losangeles-2025-04-13, CF-losangeles-to-japan-2025-04-12, CF-japan-to-germany-2025-04-13, CF-australia-to-japan-2025-04-12, CF-losangeles-to-germany-2025-04-13, CF-japan-to-australia-2025-04-12

Total tests with different outcomes: 101

## Test 4: Client preface must include a SETTINGS frame

| Variant | Outcome |
|---------|--------|
| CF-paris-to-london-2025-04-08 | modified |
| CF-losangeles-to-australia-2025-04-12 | modified |
| CF-japan-to-losangeles-2025-04-10 | modified |
| CF-australia-to-losangeles-2025-04-12 | dropped |
| CF-japan-to-australia-2025-04-10 | modified |
| CF-germany-to-australia-2025-04-13 | modified |
| CF-losangeles-to-japan-2025-04-10 | dropped |
| CF-australia-to-germany-2025-04-13 | dropped |
| CF-australia-to-japan-2025-04-11 | dropped |
| CF-losangeles-to-japan-2025-04-13 | dropped |
| CF-losangeles-to-australia-2025-04-10 | modified |
| CF-germany-to-australia-2025-04-08 | modified |
| CF-australia-to-japan-2025-04-10 | dropped |
| CF-germany-to-australia-2025-03-17 | modified |
| CF-australia-to-japan-2025-04-13 | dropped |
| CF-japan-to-australia-2025-04-13 | modified |
| CF-losangeles-to-australia-2025-04-13 | modified |
| CF-germany-to-losangeles-2025-04-14 | dropped |
| CF-australia-to-losangeles-2025-04-10 | modified |
| CF-australia-to-losangeles-2025-04-13 | modified |
| CF-japan-to-losangeles-2025-04-12 | modified |
| CF-germany-to-japan-2025-04-13 | modified |
| CF-paris-to-australia-2025-04-08 | modified |
| CF-japan-to-losangeles-2025-04-13 | modified |
