id | proxy      | version     | Release Date | Protocol | with TLS | GitHub Stars | old version     | Tested with H2H1

1  | node       | 20.16.0     | Mar 13, 2025 | H2EE     |          | 111k         | 14.19.3         | True
2  | caddy      | 2.9.1       | Jan 08, 2025 | H2EE     |          | 63.6k        |     -           |     -
3  | Traefik    | 3.3.5       | Mar 31, 2025 | H2EE     |          | 54.2k        | 2.6.2           | True
4  | mitmproxy  | 11.1.0      | Jan 12, 2025 | H2EE     | True     | 38.7k        |     -           |     -
5  | envoy      | 1.32.2      | Dec 08, 2024 | H2EE     |          | 25.8k        |     -           | True
6  | h2o        | 26b116e95   | Jan 30, 2025 | H2EE     | True     | 11.1k        | cf59e67c3       | True
7  | haproxy    | 2.9.10      | Sep 03, 2024 | H2EE     |          | 5.5k         | 2.6.0           | True
8  | nghttpx    | 1.62.1      | May 19, 2024 | H2EE     |          | 4.8k         | 1.47.0          | True
9  | apache     | 2.4.62      | Jul 17, 2024 | H2EE     |          | 3.7k         | 2.4.53          | True
10 | Cloudflare | N/A         | N/A          | H2EE     | True     | N/A          | N/A             | True
11 | nginx      | 1.26.0      | Apr 23, 2024 | H2H1     | True     | 26.6k        | 1.22.0          | 
12 | lighttpd   | 1.4.76      | Apr 12, 2024 | H2H1     | True     | 645          | 1.4.64          | 
13 | Varnish    | 7.7.0       | Mar 18, 2024 | H2H1     |          | 3.8k         | 7.1.0           | 
14 | Azure AG   | N/A         | N/A          | H2H1     | True     | N/A          | N/A             | 
15 | Fastly     | N/A         | N/A          | H2H1     | True     | N/A          | N/A             | 
