| Proxy | Test Scope | Dropped Count | 500 Error Count | GOAWAY Count | RESET Count | Received Count | Modified Count | Unmodified Count | Received Tests | Modified Tests | Unmodified Tests |
| ----- | ---------- | ------------- | --------------- | ------------ | ----------- | -------------- | -------------- | ---------------- | -------------- | -------------- | ---------------- |
| Apache | Full | 47 | 46 | 72 | 0 | 0 | 0 | 0 |  |  |  |
| Azure-AG | Client-side Only | 53 | 0 | 27 | 0 | 0 | 2 | 1 |  | 4, 87 | 8 |
| Caddy | Full | 51 | 71 | 32 | 0 | 0 | 6 | 4 |  | 137, 138, 139, 140, 141, 142 | 110, 135, 136, 151 |
| Cloudflare | Full | 95 | 50 | 7 | 5 | 0 | 6 | 3 |  | 4, 58, 87, 126, 135, 141 | 8, 110, 151 |
| Envoy | Full | 72 | 60 | 29 | 0 | 0 | 0 | 4 |  |  | 110, 135, 136, 151 |
| H2O | Full | 93 | 8 | 64 | 0 | 0 | 0 | 0 |  |  |  |
| HAproxy | Full | 40 | 31 | 87 | 0 | 0 | 2 | 5 |  | 126, 165 | 110, 135, 136, 142, 151 |
| Lighttpd | Client-side Only | 46 | 0 | 32 | 1 | 0 | 2 | 2 |  | 4, 87 | 7, 83 |
| Mitmproxy | Full | 24 | 1 | 0 | 4 | 0 | 4 | 133 |  | 4, 87, 126, 165 | 1, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 80, 81, 82, 83, 85, 86, 88, 89, 90, 91, 92, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 110, 111, 115, 116, 118, 119, 120, 124, 125, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 148, 149, 150, 151, 153, 154, 155, 157, 158, 159, 160, 161, 162, 163, 164, 166 |
| Nghttpx | Full | 61 | 1 | 65 | 36 | 0 | 0 | 2 |  |  | 110, 151 |
| Nginx | Client-side Only | 49 | 0 | 31 | 0 | 0 | 2 | 1 |  | 4, 87 | 8 |
| Node | Full | 77 | 13 | 65 | 0 | 0 | 8 | 2 |  | 128, 129, 131, 132, 133, 134, 135, 136 | 110, 151 |
